keyword,volume,kd,intent,rank,rankBucket,cluster,currentPath,matchedRepoPage,intended,currentLandingCorrect,cannibalizationRisk,recommendedAction,priority,currentPageType,intendedPageType,semEntry,semPhrase,title,h1,metaDescription,canonical,schema
historical themed western photography,0,14,i,21,21-40,History / reenactment / war,/Western-Fine-Art-Photography,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History,review,possible,resolve landing mismatch / possible cannibalization,54,doorway / hub,gallery,facingHistory,historical themed western photography,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western portrait art,0,27,c,22,21-40,Cowboy / Western portraits,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,,strengthen existing page,54,gallery,gallery,cowboy,western portrait art,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
mountain photography,880,40,i,-,Unranked,Landscape / travel,,no,/Galleries/Painterly-Fine-Art-Photography/Landscapes,no current landing,,build supporting article/page or strengthen target,53,missing,gallery,landscape,mountain photography,Painterly Landscapes - Photography by Wayne Heim,Painterly Landscape Photography by Wayne Heim,"Painterly fine art landscapes - mountains, coastlines, and Western vistas captured with cinematic mood, depth, and atmosphere.",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Landscapes,CollectionPage; Thing; ImageGallery; ImageObject; Person
cowboys wild west history,20,36,i,-,Unranked,Wild West / frontier,,no,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Wild-West,no current landing,,build supporting article/page or strengthen target,53,missing,gallery,,,Wild West Photography - Wayne Heim,Wild West — Art of The American Frontier,"Wild West photography by Wayne Heim: painterly frontier images of legend, labor, endurance, and the human lives beneath the myth of the American West.",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Wild-West,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
photography of trains,10,31,i,13,11-20,Train / transportation,/Galleries/Fine-Art-Photography/Transportation/Trains,yes,/Galleries/Fine-Art-Photography/Transportation/Trains,yes,,strengthen existing page,53,gallery,gallery,,,Train & Locomotive Fine Art Photography by Wayne Heim,Train & Locomotive Fine Art Photography by Wayne Heim – Traditional Prints,"Step into the world of railroads with Wayne Heim’s traditional train photography. This gallery features historic steam locomotives, vintage railcars, and modern...",https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,CollectionPage; Thing; ImageGallery; ImageObject; Person
fine art photography of the american west,0,8,c,2,Top 3,Western fine art photography,/Fine-Art-Photography-of-the-American-West,yes,/Western-Fine-Art-Photography,review,possible,defend existing winner,53,doorway / hub,doorway / hub,,,Fine Art Photography of the American West,Fine Art Photography of the American West,"Fine art photography of the American West by Wayne Heim: historically rooted, painterly photography spanning cowboy portraits, Indigenous presence, frontier...",https://www.k4studios.com/Fine-Art-Photography-of-the-American-West,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
painterly sunset photography,10,18,i,1,Top 3,Painterly photography,/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Theme/Sunsets,yes,/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Location/West/Gallery,review,possible,defend existing winner,52,gallery,gallery,landscapeWestPainterly,painterly sunset photography,Painterly Sunset Photography by Wayne Heim - Painterly Fine Art,Painterly Sunset Photography by Wayne Heim – Painterly Fine Art,"Explore a curated collection of sunset photography that captures nature’s final light in rich, painterly detail. Wayne Heim’s fine art technique turns glowing...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Theme/Sunsets,CollectionPage; Thing; ImageGallery; ImageObject; Person
painterly train photography,10,7,i,1,Top 3,Train / transportation,/Galleries/Painterly-Fine-Art-Photography/Transportation/Trains-Black-White,yes,/Galleries/Fine-Art-Photography/Transportation/Trains,review,possible,defend existing winner,52,gallery,gallery,railwayPainterly,Painterly Train Photography,Black & White Train Photography by Wayne Heim,Black & White Train Photography by Wayne Heim – Painterly Fine Art Railroad Photos,"Step back in time with Wayne Heim’s painterly black and white train photography. This fine art gallery celebrates the power, nostalgia, and classic beauty of...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Transportation/Trains-Black-White,CollectionPage; Thing; ImageGallery; ImageObject; Person
western photographs,10,33,i,42,41-100,Western fine art photography,/Western-Fine-Art-Photography,yes,/Western-Fine-Art-Photography,yes,,improve internal linking,52,doorway / hub,doorway / hub,,,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
civil war themed fine art,0,25,c,12,11-20,History / reenactment / war,/Civil-War-Art,yes,/Civil-War-Art,yes,,strengthen existing page,52,doorway / hub,doorway / hub,,,Civil War Art | Civil War Photography & Narrative Fine Art,Civil War Art | Narrative Fine Art Photography,"Explore Civil War art through painterly fine art photography. Narrative Civil War images built as cinematic, story-driven moments beyond traditional historical...",https://www.k4studios.com/Civil-War-Art,Article; WebPage; Person; Organization; ImageObject; FAQPage; Question; Answer
painterly cowboy photography,0,11,i,1,Top 3,Cowboy / Western portraits,/Cowboy-Fine-Art-Photography,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,review,possible,defend existing winner,52,doorway / hub,gallery,cowboy,painterly cowboy photography,Cowboy Fine Art Photography - Wayne Heim,Cowboy Fine Art Photography,Cowboy fine art photography by Wayne Heim. This collection features cowboy photography and black and white cowboy photography - authentic portraits of...,https://www.k4studios.com/Cowboy-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
art of the american west,50,26,i|c,19,11-20,Other / low fit,/Art-of-the-American-West,yes,/Art-of-the-American-West,yes,,strengthen existing page,51,doorway / hub,doorway / hub,artOfTheAmericanWestDefinition,art of the american west,Art of the American West,Art of the American West,"A definition-led guide to Art of the American West, from the artists and themes that shaped the canon to the contemporary work that carries the tradition...",https://www.k4studios.com/Art-of-the-American-West,Article; WebPage; Person; Organization; ImageObject; BreadcrumbList; ListItem
1800s cowboy art,20,30,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,51,missing,doorway / hub,,,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
art of the western frontier,0,18,i,10,4-10,Wild West / frontier,/Western-Frontier-Art,yes,/wild-west-art,review,possible,improve internal linking to intended target without disturbing winner,51,doorway / hub,doorway / hub,,,Western Frontier Art,Western Frontier Art,"Western frontier art by Wayne Heim: historically rooted painterly fine art of the American frontier, centered on frontier life, character, tension, and...",https://www.k4studios.com/Western-Frontier-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
wild west painterly photography,0,13,i,1,Top 3,Wild West / frontier,/Cowboy-Fine-Art-Photography,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Wild-West,review,possible,defend existing winner,51,doorway / hub,gallery,,,Cowboy Fine Art Photography - Wayne Heim,Cowboy Fine Art Photography,Cowboy fine art photography by Wayne Heim. This collection features cowboy photography and black and white cowboy photography - authentic portraits of...,https://www.k4studios.com/Cowboy-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
waterfall photography,260,18,i,-,Unranked,Other / low fit,,no,/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Theme/Water,no current landing,,build supporting article/page or strengthen target,50,missing,gallery,waterPainterly,waterfall photography,Waterfall and Water Photography by Wayne Heim,Waterfall and Water Photography by Wayne Heim – Painterly Fine Art Prints,"Discover fine art waterfall and water photography that transforms rushing rivers, misty cascades, and tranquil lakes into timeless painterly works. Wayne Heim’s...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Theme/Water,CollectionPage; Thing; ImageGallery; ImageObject; Person
fine art of the west,10,10,c,26,21-40,Other / low fit,/Blog/what-is-western-fine-art,yes,,review,,strengthen existing page,50,definition blog,missing,,,"What Is Western Fine Art? Definition, Meaning, and Why th | K4 Studios","What Is Western Fine Art? Definition, Meaning, and Why the Term Matters","Western fine art is the authored core of Western art across painting, photography, sculpture, and other media. Learn what the term means and what qualifies work...",https://www.k4studios.com/Blog/what-is-western-fine-art,Article; WebPage; Person; Organization; ImageObject; DefinedTerm; BreadcrumbList; ListItem
fine art reenactment photography,0,2,i,1,Top 3,History / reenactment / war,/Galleries/Fine-Art-Photography/Miscellaneous/Reenactments,yes,/Galleries/Fine-Art-Photography/Portraits/Reenactors,review,possible,defend existing winner,50,gallery,gallery,reenactorsTraditional,fine art reenactment photography,Traditional Reenactment Photography by Wayne Heim,Traditional Reenactment Photography by Wayne Heim – Fine Art of Living History,"Step back in time with Wayne Heim’s traditional reenactment photography. This gallery captures the spirit of living history events - Civil War battles,...",https://www.k4studios.com/Galleries/Fine-Art-Photography/Miscellaneous/Reenactments,CollectionPage; Thing; ImageGallery; ImageObject; Person
painterly fine art landscape photography,0,7,i,1,Top 3,Painterly photography,/Blog/what-is-painterly-photography,yes,/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Location/West/Gallery,review,possible,defend existing winner,50,definition blog,gallery,landscapeWestPainterly,painterly fine art landscape photography,"What Is Painterly Photography? Definition, Editing, Fine Art",What Is Painterly Photography?,Painterly photography is a term used in many ways - from editing presets to fine art practice. This article distinguishes surface effects from the discipline of...,https://www.k4studios.com/Blog/what-is-painterly-photography,Article; WebPage; Person; Organization; ImageObject; DefinedTerm; FAQPage; Question
steam locomotive photo,0,0,i,-,Unranked,Train / transportation,,no,/Galleries/Fine-Art-Photography/Transportation/Trains,no current landing,,build supporting article/page or strengthen target,50,missing,gallery,,,Train & Locomotive Fine Art Photography by Wayne Heim,Train & Locomotive Fine Art Photography by Wayne Heim – Traditional Prints,"Step into the world of railroads with Wayne Heim’s traditional train photography. This gallery features historic steam locomotives, vintage railcars, and modern...",https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,CollectionPage; Thing; ImageGallery; ImageObject; Person
vintage cowboy art photography,0,16,c,41,41-100,Vintage Western / Old West,/vintage-western-art,yes,/vintage-western-art,yes,,improve internal linking,50,doorway / hub,doorway / hub,cowboy,vintage cowboy art photography,Vintage Western Art,Vintage Western Art,"Vintage western art by Wayne Heim featuring vintage cowboy art, old-west atmosphere, and painterly frontier prints created for collectors rather than...",https://www.k4studios.com/vintage-western-art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
wwii themed fine art photography,0,14,i,1,Top 3,Western fine art photography,/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,yes,/Western-Fine-Art-Photography,review,possible,defend existing winner,50,gallery,doorway / hub,,,"WWII Photography | World War II Portraits, Battle Scenes, and Machines","WWII Fine Art Photography — Painterly Stories of War, Portraits, and Machines","WWII fine art photography featuring World War II battle scenes, portraits, and military machines by Wayne Heim",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,CollectionPage; Thing; ImageGallery; ImageObject; Person
painterly western photography,0,8,i,1,Top 3,Painterly photography,/Painterly-Western-Photography,yes,/Painterly-Western-Photography,yes,,defend existing winner,49,doorway / hub,doorway / hub,painterlyWesternHub,Painterly Western Photography,Painterly Western Photography - Wayne Heim,Painterly Western Photography,"Painterly Western photography by Wayne Heim. Explore the discipline, light, and narrative philosophy behind character-driven cowboy portraits and frontier...",https://www.k4studios.com/Painterly-Western-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western landscape paintings,390,11,c,-,Unranked,Landscape / travel,,no,,no current landing,,ignore / wrong intent,48,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
painterly car photography,10,27,i|t,1,Top 3,Painterly photography,/Galleries/Painterly-Fine-Art-Photography/Transportation/Cars,yes,/Galleries/Painterly-Fine-Art-Photography,review,possible,defend existing winner,48,gallery,gallery,,,Color Car Photography by Wayne Heim,Color Car Photography by Wayne Heim – Painterly Fine Art Classic Car Photos,"Celebrate the beauty and nostalgia of automobiles with Wayne Heim’s painterly color car photography. This gallery features classic cars, vintage vehicles, and...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Transportation/Cars,CollectionPage; Thing; ImageGallery; ImageObject; Person
historical western photography,0,26,i,29,21-40,History / reenactment / war,/Western-Cowboy-Photography,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History,review,possible,resolve landing mismatch / possible cannibalization,48,doorway / hub,gallery,facingHistory,historical western photography,Western Cowboy Photography - Wayne Heim,Western Cowboy Photography,"Western cowboy photography and wild west cowboy portraits - authentic character studies from the American frontier, crafted with painterly depth and...",https://www.k4studios.com/Western-Cowboy-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
narrative western art,0,9,i,1,Top 3,Broad commercial Western / cowboy art,/Narrative-Western-Art,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,review,possible,defend existing winner,48,doorway / hub,gallery,cowboy,narrative Western art,Wayne Heim Fine Art Photography,Narrative Western Art,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/Narrative-Western-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western photos,1300,45,c,-,Unranked,Other / low fit,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,47,missing,doorway / hub,westernWallArtHub,western photos,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western mountain photography,10,16,i,4,4-10,Landscape / travel,/Galleries/Fine-Art-Photography/Landscapes/By-Location/West/Gallery,yes,,review,,strengthen existing page,47,gallery,missing,,,Classic Western Landscape Photography,Classic Western Landscape Photography – Authentic Fine Art Photography by Wayne Heim,Wayne Heim’s traditional Western landscape photography captures the vast scale and spirit of the American frontier. From sunset over desert mesas to alpine...,https://www.k4studios.com/Galleries/Fine-Art-Photography/Landscapes/By-Location/West/Gallery,CollectionPage; Thing; Place; ImageGallery; ImageObject; Person
wwii inspired photography,10,24,i,1,Top 3,History / reenactment / war,/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,yes,,defend existing winner,47,gallery,gallery,,,"WWII Photography | World War II Portraits, Battle Scenes, and Machines","WWII Fine Art Photography — Painterly Stories of War, Portraits, and Machines","WWII fine art photography featuring World War II battle scenes, portraits, and military machines by Wayne Heim",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,CollectionPage; Thing; ImageGallery; ImageObject; Person
western themed photography,30,11,i,7,4-10,Other / low fit,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,/Western-Fine-Art-Photography,review,possible,improve internal linking to intended target without disturbing winner,46,gallery,doorway / hub,westernThemedPhotography,western themed photography,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
fine art plane photography,10,19,c,33,21-40,Other / low fit,/Galleries/Fine-Art-Photography/Transportation/Planes,yes,,review,,strengthen existing page,46,gallery,missing,,,Aviation & Airplane Fine Art Photography by Wayne Heim,Aviation & Airplane Fine Art Photography by Wayne Heim – Traditional Prints,"Experience the majesty of flight through Wayne Heim’s traditional aviation photography. This gallery features historic warbirds, vintage prop planes, and modern...",https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Planes,CollectionPage; Thing; ImageGallery; ImageObject; Person
history inspired artwork,0,16,c,-,Unranked,History / reenactment / war,,no,/Historical-Reenactment-Photography,no current landing,,strengthen/build commercial doorway target,46,missing,doorway / hub,,,Historical Reenactment Photography & Reenactor Portraits - Wayne Heim,Historical Reenactment Photography & Reenactor Portraits,"Historical reenactment photography, reenactor portraits, and living history photography covering Civil War, WWII, and frontier events through painterly,...",https://www.k4studios.com/Historical-Reenactment-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; FAQPage; Question; Answer
cowboy paintings,1000,10,i|c,-,Unranked,Other / low fit,,no,,no current landing,,ignore / wrong intent,45,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
western landscape artists,170,11,i,-,Unranked,Landscape / travel,,no,,no current landing,,ignore / wrong intent,45,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
western landscape drawings,70,6,i,-,Unranked,Landscape / travel,,no,,no current landing,,ignore / wrong intent,45,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
western themed portrait photography,30,7,i,1,Top 3,Other / low fit,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,,defend existing winner,45,gallery,gallery,cowboy,western themed portrait photography,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
cowboy fine art prints,10,6,c,-,Unranked,Other / low fit,,no,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,no current landing,,strengthen/build commercial doorway target,45,missing,gallery,cowboy,cowboy fine art prints,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
fine art steam train photography,0,4,c,2,Top 3,Train / transportation,/Galleries/Painterly-Fine-Art-Photography/Transportation,yes,/Galleries/Fine-Art-Photography/Transportation/Trains,review,possible,defend existing winner,45,gallery,gallery,,,Transportation Fine Art Photography,Transportation Photography — Fine Art by Wayne Heim,"Painterly transportation photography - vintage trains, classic cars, warbirds, and boats captured as fine art prints.",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Transportation,CollectionPage; Thing; ImageGallery; ImageObject; Person
painterly mountain photography,0,16,i,1,Top 3,Painterly photography,/Galleries/Painterly-Fine-Art-Photography/Landscapes,yes,/Galleries/Painterly-Fine-Art-Photography/Landscapes/By-Theme/Mountains,review,possible,defend existing winner,45,gallery,gallery,mountainsPainterly,Painterly Mountain Photography,Painterly Landscapes - Photography by Wayne Heim,Painterly Landscape Photography by Wayne Heim,"Painterly fine art landscapes - mountains, coastlines, and Western vistas captured with cinematic mood, depth, and atmosphere.",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Landscapes,CollectionPage; Thing; ImageGallery; ImageObject; Person
western home interior design art,0,11,c,13,11-20,Other / low fit,/Rustic-Western-Interior-Design-Art,yes,,review,,strengthen existing page,45,doorway / hub,missing,,,Wayne Heim Fine Art Photography,"Rustic Western Interior Design Art for Warm, Textural Spaces","Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/Rustic-Western-Interior-Design-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
civil war inspired photography,0,20,i,-,Unranked,History / reenactment / war,,no,/Civil-War-Art,no current landing,,build supporting article/page or strengthen target,44,missing,doorway / hub,,,Civil War Art | Civil War Photography & Narrative Fine Art,Civil War Art | Narrative Fine Art Photography,"Explore Civil War art through painterly fine art photography. Narrative Civil War images built as cinematic, story-driven moments beyond traditional historical...",https://www.k4studios.com/Civil-War-Art,Article; WebPage; Person; Organization; ImageObject; FAQPage; Question; Answer
western themed wall art,20,16,c,-,Unranked,Other / low fit,,no,/Western-Fine-Art-Photography,no current landing,,strengthen/build commercial doorway target,43,missing,doorway / hub,westernThemedPhotography,western themed wall art,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
wwii themed photography,10,32,i,1,Top 3,History / reenactment / war,/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,yes,/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,yes,,defend existing winner,43,gallery,gallery,,,"WWII Photography | World War II Portraits, Battle Scenes, and Machines","WWII Fine Art Photography — Painterly Stories of War, Portraits, and Machines","WWII fine art photography featuring World War II battle scenes, portraits, and military machines by Wayne Heim",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/WWII,CollectionPage; Thing; ImageGallery; ImageObject; Person
civil war themed art,0,23,c,-,Unranked,History / reenactment / war,,no,/Civil-War-Art,no current landing,,strengthen/build commercial doorway target,43,missing,doorway / hub,,,Civil War Art | Civil War Photography & Narrative Fine Art,Civil War Art | Narrative Fine Art Photography,"Explore Civil War art through painterly fine art photography. Narrative Civil War images built as cinematic, story-driven moments beyond traditional historical...",https://www.k4studios.com/Civil-War-Art,Article; WebPage; Person; Organization; ImageObject; FAQPage; Question; Answer
steam locomotive photography,0,35,i,17,11-20,Train / transportation,/Galleries/Fine-Art-Photography/Transportation/Trains,yes,/Galleries/Fine-Art-Photography/Transportation/Trains,yes,,strengthen existing page,43,gallery,gallery,railwayTraditional,steam locomotive photography,Train & Locomotive Fine Art Photography by Wayne Heim,Train & Locomotive Fine Art Photography by Wayne Heim – Traditional Prints,"Step into the world of railroads with Wayne Heim’s traditional train photography. This gallery features historic steam locomotives, vintage railcars, and modern...",https://www.k4studios.com/Galleries/Fine-Art-Photography/Transportation/Trains,CollectionPage; Thing; ImageGallery; ImageObject; Person
western photography fine art prints,0,8,c,23,21-40,Other / low fit,/Western-Fine-Art-Photography,yes,,review,,strengthen existing page,43,doorway / hub,missing,,,Western Fine Art Photography,Western Fine Art Photography,"Western fine art photography by Wayne Heim: authored, painterly fine art of the American West centered on cowboy portraits, frontier characters, and...",https://www.k4studios.com/Western-Fine-Art-Photography,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western style design decor,0,25,c,-,Unranked,Broad commercial Western / cowboy art,,no,/Western-Wall-Art,no current landing,,strengthen/build commercial doorway target,43,missing,doorway / hub,,,Western Wall Art - Cowboy Fine Art Prints,Western Wall Art,"Museum-quality Western wall art and wild west cowboy photography by Wayne Heim. Vintage western art, cowboy portraits, and frontier landscapes - cinematic,...",https://www.k4studios.com/Western-Wall-Art,CollectionPage; Thing; ImageGallery; ImageObject; Person; BreadcrumbList; ListItem; FAQPage
western photoshoot,1600,18,c,-,Unranked,Other / low fit,,no,,no current landing,,ignore / wrong intent,42,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
fine art landscape photography,390,24,i,-,Unranked,Landscape / travel,,no,,no current landing,,ignore / wrong intent,42,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
frederic remington prints,260,7,c,-,Unranked,Other / low fit,,no,,no current landing,,ignore / wrong intent,42,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
artistic western photography,0,16,i,12,11-20,Other / low fit,/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,yes,,review,,strengthen existing page,42,gallery,missing,,,Western Cowboy Portraits - Wayne Heim,Western Portraits — Painterly Fine Art Photography,"Western cowboy portraits by Wayne Heim: painterly fine art portraits of frontier characters, Old West figures, and historically grounded subjects of the...",https://www.k4studios.com/Galleries/Painterly-Fine-Art-Photography/Facing-History/Western-Cowboy-Portraits,CollectionPage; Thing; ImageGallery; ImageObject; Person; ItemList; ListItem
western photo shoot,170,5,i,-,Unranked,Other / low fit,,no,,no current landing,,ignore / wrong intent,41,missing,missing,,,Wayne Heim Fine Art Photography,Painterly & Fine Art Photography by Wayne Heim,"Painterly and traditional fine art photography - western, historical, and landscape storytelling crafted with cinematic and emotional depth.",https://www.k4studios.com/,CollectionPage; Thing; ImageGallery; ImageObject; Person; Organization; ItemList; ListItem
